#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVRL1	BMP7	9606.ENSP00000373574	9606.ENSP00000379204	0	0	0	0	0.049	0.167	0	0.485	0.556
AK1	PSAT1	9606.ENSP00000223836	9606.ENSP00000365773	0	0	0	0	0	0	0	0.422	0.422
ANLN	TRIP13	9606.ENSP00000265748	9606.ENSP00000166345	0	0	0	0	0.514	0.292	0	0.327	0.748
ANLN	CDC6	9606.ENSP00000265748	9606.ENSP00000209728	0	0	0	0	0.423	0	0	0.301	0.579
ANLN	AURKA	9606.ENSP00000265748	9606.ENSP00000216911	0	0	0	0	0.541	0	0	0.459	0.741
ANLN	MYBL2	9606.ENSP00000265748	9606.ENSP00000217026	0	0	0	0	0.262	0	0	0.222	0.402
ANLN	OIP5	9606.ENSP00000265748	9606.ENSP00000220514	0	0	0	0	0.347	0	0	0.145	0.418
ANLN	RAD51AP1	9606.ENSP00000265748	9606.ENSP00000228843	0	0	0	0	0.422	0	0	0.159	0.493
ANLN	NCAPH	9606.ENSP00000265748	9606.ENSP00000240423	0	0	0	0	0.433	0	0	0.505	0.707
ANLN	MND1	9606.ENSP00000265748	9606.ENSP00000240488	0	0	0	0	0.454	0	0	0.123	0.500
ANLN	LYPD3	9606.ENSP00000265748	9606.ENSP00000244333	0	0	0	0	0	0.292	0	0.264	0.456
ANLN	PIMREG	9606.ENSP00000265748	9606.ENSP00000250056	0	0	0	0	0.348	0	0	0.389	0.585
ANLN	NCAPG	9606.ENSP00000265748	9606.ENSP00000251496	0	0	0	0	0.539	0	0	0.336	0.681
ANLN	CCNB1	9606.ENSP00000265748	9606.ENSP00000256442	0	0	0	0	0.607	0	0	0.657	0.860
ANLN	ESPL1	9606.ENSP00000265748	9606.ENSP00000257934	0	0	0	0	0.231	0	0	0.457	0.564
ANLN	IGF2BP3	9606.ENSP00000265748	9606.ENSP00000258729	0	0	0	0	0.191	0.292	0	0.191	0.496
ANLN	KIF23	9606.ENSP00000265748	9606.ENSP00000260363	0	0	0	0	0.740	0.331	0	0.946	0.989
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.879	0	0	0.582	0.947
ANLN	NDC80	9606.ENSP00000265748	9606.ENSP00000261597	0	0	0	0	0.524	0	0	0.220	0.612
ANLN	MCM4	9606.ENSP00000265748	9606.ENSP00000262105	0	0	0	0	0.735	0.292	0	0.220	0.841
ANLN	GINS1	9606.ENSP00000265748	9606.ENSP00000262460	0	0	0	0	0.244	0	0	0.245	0.405
ANLN	DEPDC1B	9606.ENSP00000265748	9606.ENSP00000265036	0	0	0	0	0.502	0	0.400	0.200	0.740
ANLN	MCM2	9606.ENSP00000265748	9606.ENSP00000265056	0	0	0	0	0.662	0	0	0.087	0.678
ANLN	CENPE	9606.ENSP00000265748	9606.ENSP00000265148	0	0	0	0	0.594	0	0	0.437	0.762
ANLN	CHAF1B	9606.ENSP00000265748	9606.ENSP00000315700	0	0	0	0	0.246	0	0	0.241	0.403
ANLN	TICRR	9606.ENSP00000265748	9606.ENSP00000268138	0	0	0	0	0.318	0	0	0.167	0.408
ANLN	CIP2A	9606.ENSP00000265748	9606.ENSP00000295746	0	0	0	0	0.372	0	0	0.106	0.415
ANLN	ORC1	9606.ENSP00000265748	9606.ENSP00000360623	0	0	0	0	0.399	0	0	0.076	0.420
ANLN	FAM83B	9606.ENSP00000265748	9606.ENSP00000304078	0	0	0	0	0.055	0.292	0	0.228	0.438
ANLN	KIF18B	9606.ENSP00000265748	9606.ENSP00000465992	0	0	0	0	0.263	0	0	0.277	0.445
ANLN	FANCI	9606.ENSP00000265748	9606.ENSP00000310842	0	0	0	0	0.348	0	0	0.192	0.450
ANLN	WDHD1	9606.ENSP00000265748	9606.ENSP00000353793	0	0	0	0	0.413	0	0	0.103	0.451
ANLN	CENPI	9606.ENSP00000265748	9606.ENSP00000362018	0	0	0	0	0.363	0	0	0.189	0.462
