#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	CPB2	9606.ENSP00000323929	9606.ENSP00000181383	0	0	0	0	0.161	0.294	0	0.696	0.805
A2M	APOH	9606.ENSP00000323929	9606.ENSP00000205948	0	0	0	0	0.216	0	0	0.697	0.752
A2M	MMP11	9606.ENSP00000323929	9606.ENSP00000215743	0	0	0	0	0.053	0	0.500	0.187	0.581
A2M	EEF1A2	9606.ENSP00000323929	9606.ENSP00000217182	0	0	0	0	0	0	0	0.475	0.475
A2M	ACP5	9606.ENSP00000323929	9606.ENSP00000218758	0	0	0	0	0.074	0	0	0.433	0.452
A2M	VTN	9606.ENSP00000323929	9606.ENSP00000226218	0	0	0	0	0.115	0	0	0.484	0.524
A2M	CFP	9606.ENSP00000323929	9606.ENSP00000247153	0	0	0	0	0.057	0	0	0.573	0.580
A2M	F12	9606.ENSP00000323929	9606.ENSP00000253496	0	0	0	0	0.104	0.123	0	0.455	0.534
A2M	MMP13	9606.ENSP00000323929	9606.ENSP00000260302	0	0	0	0	0	0	0.500	0.591	0.786
A2M	PZP	9606.ENSP00000323929	9606.ENSP00000261336	0	0	0.053	0.975	0.121	0.330	0	0.395	0.617
A2M	VWF	9606.ENSP00000323929	9606.ENSP00000261405	0	0	0	0	0.179	0	0	0.537	0.603
A2M	SLC6A4	9606.ENSP00000323929	9606.ENSP00000261707	0	0	0	0	0.052	0.292	0	0.229	0.437
A2M	TIMP3	9606.ENSP00000323929	9606.ENSP00000266085	0	0	0	0	0.210	0	0	0.373	0.484
A2M	SERPING1	9606.ENSP00000323929	9606.ENSP00000278407	0	0	0	0	0.170	0	0	0.890	0.905
A2M	MMP10	9606.ENSP00000323929	9606.ENSP00000279441	0	0	0	0	0	0	0.500	0.233	0.600
A2M	PPARG	9606.ENSP00000323929	9606.ENSP00000287820	0	0	0	0	0.054	0.045	0	0.463	0.472
A2M	CLEC3B	9606.ENSP00000323929	9606.ENSP00000296130	0	0	0	0	0.117	0	0	0.502	0.542
A2M	MASP1	9606.ENSP00000323929	9606.ENSP00000296280	0	0	0	0	0.088	0.127	0	0.351	0.438
A2M	MMP3	9606.ENSP00000323929	9606.ENSP00000299855	0	0	0	0	0.044	0	0.500	0.765	0.877
A2M	LRP8	9606.ENSP00000323929	9606.ENSP00000303634	0	0.007	0	0	0.055	0.071	0	0.601	0.619
A2M	MMP1	9606.ENSP00000323929	9606.ENSP00000322788	0	0	0	0	0.044	0	0.500	0.608	0.796
A2M	SPARCL1	9606.ENSP00000323929	9606.ENSP00000414856	0	0	0	0	0.324	0	0	0.174	0.418
A2M	RBP4	9606.ENSP00000323929	9606.ENSP00000360522	0	0	0	0	0.150	0	0	0.345	0.420
A2M	GPT2	9606.ENSP00000323929	9606.ENSP00000345282	0	0	0	0	0.066	0	0	0.408	0.423
A2M	PRSS3	9606.ENSP00000323929	9606.ENSP00000354280	0	0	0	0	0	0.127	0	0.373	0.429
A2M	ANXA6	9606.ENSP00000323929	9606.ENSP00000346550	0	0	0	0	0.058	0	0	0.444	0.454
A2M	SELENBP1	9606.ENSP00000323929	9606.ENSP00000397261	0	0	0	0	0.063	0	0	0.444	0.456
A2M	ITIH3	9606.ENSP00000323929	9606.ENSP00000415769	0	0	0	0	0.180	0.046	0	0.374	0.468
A2M	F10	9606.ENSP00000323929	9606.ENSP00000364709	0	0	0	0	0.109	0.127	0	0.379	0.475
A2M	AGER	9606.ENSP00000323929	9606.ENSP00000364210	0	0	0	0	0.063	0	0	0.482	0.493
A2M	GAPDH	9606.ENSP00000323929	9606.ENSP00000380070	0	0	0	0	0.069	0	0	0.529	0.542
A2M	PTGDS	9606.ENSP00000323929	9606.ENSP00000360687	0	0	0	0	0.147	0	0	0.505	0.560
A2M	IGFBP3	9606.ENSP00000323929	9606.ENSP00000370473	0	0	0	0	0.086	0	0	0.542	0.563
A2M	HBB	9606.ENSP00000323929	9606.ENSP00000494175	0	0	0	0	0.062	0	0	0.572	0.582
A2M	F8	9606.ENSP00000323929	9606.ENSP00000353393	0	0	0	0	0.055	0	0	0.604	0.610
A2M	F11	9606.ENSP00000323929	9606.ENSP00000384957	0	0	0	0	0.100	0.127	0	0.555	0.620
A2M	MMP12	9606.ENSP00000323929	9606.ENSP00000458585	0	0	0	0	0.072	0	0.500	0.290	0.641
A2M	APBB1	9606.ENSP00000323929	9606.ENSP00000477213	0	0	0	0	0.071	0.292	0	0.536	0.668
A2M	PLAU	9606.ENSP00000323929	9606.ENSP00000361850	0	0	0	0	0.042	0.127	0	0.687	0.715
A2ML1	RRAS	9606.ENSP00000299698	9606.ENSP00000246792	0	0	0	0	0.042	0.064	0	0.541	0.553
A2ML1	DSG3	9606.ENSP00000299698	9606.ENSP00000257189	0	0	0	0	0.176	0	0	0.630	0.683
A2ML1	COL17A1	9606.ENSP00000299698	9606.ENSP00000497653	0	0	0	0	0.049	0	0	0.398	0.403
A2ML1	SPRR1B	9606.ENSP00000299698	9606.ENSP00000306461	0	0	0	0	0.240	0	0	0.276	0.426
A2ML1	DSC3	9606.ENSP00000299698	9606.ENSP00000353608	0	0	0	0	0.105	0	0	0.389	0.430
A2ML1	NCCRP1	9606.ENSP00000299698	9606.ENSP00000342137	0	0	0	0	0.258	0	0	0.269	0.434
A2ML1	KRTDAP	9606.ENSP00000299698	9606.ENSP00000339251	0	0	0	0	0.212	0	0	0.369	0.481
A2ML1	PKP3	9606.ENSP00000299698	9606.ENSP00000331678	0	0	0	0	0.063	0	0	0.524	0.535
A2ML1	DSP	9606.ENSP00000299698	9606.ENSP00000369129	0	0	0	0	0.047	0	0	0.602	0.605
A2ML1	KLK6	9606.ENSP00000299698	9606.ENSP00000366047	0	0	0	0	0.074	0.127	0	0.738	0.770
AATK	CDK5R1	9606.ENSP00000324196	9606.ENSP00000318486	0	0	0	0	0.114	0.292	0	0.567	0.704
AATK	MYADM	9606.ENSP00000324196	9606.ENSP00000375649	0	0	0	0	0.047	0	0	0.408	0.412
ABCA12	ABCC6	9606.ENSP00000272895	9606.ENSP00000205557	0	0	0	0.547	0.057	0.100	0	0.484	0.524
ABCA12	KRT10	9606.ENSP00000272895	9606.ENSP00000269576	0	0	0	0	0.061	0.051	0	0.452	0.470
ABCA12	ABCB1	9606.ENSP00000272895	9606.ENSP00000478255	0	0	0	0.550	0.057	0.100	0	0.391	0.438
ABCA12	IVL	9606.ENSP00000272895	9606.ENSP00000357753	0	0	0	0	0.138	0.051	0	0.397	0.464
ABCA12	ELOVL4	9606.ENSP00000272895	9606.ENSP00000358831	0	0	0	0	0.062	0.050	0	0.451	0.469
ABCA12	PDZD2	9606.ENSP00000272895	9606.ENSP00000402033	0	0	0	0	0.044	0.090	0	0.443	0.473
ABCA12	ABCA6	9606.ENSP00000272895	9606.ENSP00000284425	0	0	0.102	0.666	0	0.112	0	0.394	0.475
ABCA12	CASP14	9606.ENSP00000272895	9606.ENSP00000393417	0	0	0	0	0.075	0	0	0.528	0.545
ABCA12	CERS3	9606.ENSP00000272895	9606.ENSP00000284382	0	0	0	0	0.056	0.070	0	0.709	0.722
ABCA3	FOXF1	9606.ENSP00000301732	9606.ENSP00000262426	0	0	0	0	0.042	0.054	0	0.394	0.403
ABCA3	LAMP3	9606.ENSP00000301732	9606.ENSP00000265598	0	0	0	0	0	0.191	0	0.348	0.450
ABCA3	LPCAT1	9606.ENSP00000301732	9606.ENSP00000283415	0	0	0	0	0.151	0	0	0.569	0.619
ABCA3	HOPX	9606.ENSP00000301732	9606.ENSP00000450527	0	0	0	0	0.070	0.045	0	0.488	0.505
ABCA3	NKX2-1	9606.ENSP00000301732	9606.ENSP00000346879	0	0	0	0	0.050	0	0	0.622	0.625
ABCA6	ABCB1	9606.ENSP00000284425	9606.ENSP00000478255	0	0	0	0.551	0.082	0.100	0	0.342	0.409
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0.061	0.959	0.345	0.255	0	0.389	0.683
ABCA6	ABCA9	9606.ENSP00000284425	9606.ENSP00000342216	0	0	0.060	0.960	0.771	0.068	0	0.078	0.790
ABCA8	ABCC9	9606.ENSP00000467271	9606.ENSP00000261200	0	0	0	0	0.139	0.100	0	0.503	0.581
ABCA8	ADH1B	9606.ENSP00000467271	9606.ENSP00000306606	0	0	0	0	0.391	0	0	0.236	0.514
ABCA8	ZCCHC24	9606.ENSP00000467271	9606.ENSP00000361411	0	0	0	0	0.091	0	0	0.437	0.466
ABCA8	SVEP1	9606.ENSP00000467271	9606.ENSP00000363593	0	0	0	0	0.232	0.071	0	0.231	0.404
ABCA8	MFAP4	9606.ENSP00000467271	9606.ENSP00000378957	0	0	0	0	0.138	0.045	0	0.442	0.501
ABCA8	SPARCL1	9606.ENSP00000467271	9606.ENSP00000414856	0	0	0	0	0.144	0	0	0.411	0.475
ABCA8	ABCB1	9606.ENSP00000467271	9606.ENSP00000478255	0	0	0	0.550	0.082	0.100	0	0.361	0.427
ABCA9	ABCC9	9606.ENSP00000342216	9606.ENSP00000261200	0	0	0	0	0.148	0.100	0	0.456	0.547
ABCB1	ABCC6	9606.ENSP00000478255	9606.ENSP00000205557	0	0	0	0.595	0.234	0.076	0	0.325	0.480
ABCB1	ABCC9	9606.ENSP00000478255	9606.ENSP00000261200	0	0	0	0.592	0.234	0.076	0	0.256	0.428
ABCB1	SLC6A4	9606.ENSP00000478255	9606.ENSP00000261707	0	0	0	0	0.060	0	0	0.430	0.441
ABCB1	KDR	9606.ENSP00000478255	9606.ENSP00000263923	0	0	0	0	0.054	0	0	0.452	0.460
ABCB1	SLCO2B1	9606.ENSP00000478255	9606.ENSP00000289575	0	0	0	0	0.087	0	0	0.663	0.679
ABCB1	CBR3	9606.ENSP00000478255	9606.ENSP00000290354	0	0	0	0	0.064	0.063	0	0.396	0.424
ABCB1	HPGDS	9606.ENSP00000478255	9606.ENSP00000295256	0	0	0	0	0.082	0	0	0.451	0.475
ABCB1	UGT1A6	9606.ENSP00000478255	9606.ENSP00000303174	0	0	0	0	0.059	0	0	0.701	0.706
ABCB1	UGT1A1	9606.ENSP00000478255	9606.ENSP00000304845	0	0	0	0	0.059	0	0	0.676	0.683
ABCB1	CD34	9606.ENSP00000478255	9606.ENSP00000310036	0	0	0	0	0.055	0	0	0.412	0.420
ABCB1	SLCO2A1	9606.ENSP00000478255	9606.ENSP00000311291	0	0	0	0	0.067	0	0	0.449	0.464
ABCB1	TYMS	9606.ENSP00000478255	9606.ENSP00000315644	0.054	0	0	0	0	0	0	0.542	0.548
ABCB1	TUBB3	9606.ENSP00000478255	9606.ENSP00000320295	0	0	0	0	0.055	0	0	0.630	0.635
ABCB1	SOX2	9606.ENSP00000478255	9606.ENSP00000323588	0	0	0	0	0.067	0.052	0	0.454	0.475
ABCB1	SLC47A2	9606.ENSP00000478255	9606.ENSP00000326671	0	0	0	0	0.105	0.045	0	0.567	0.597
ABCB1	CSF1	9606.ENSP00000478255	9606.ENSP00000327513	0	0	0	0	0.056	0	0	0.433	0.441
ABCB1	ABCC5	9606.ENSP00000478255	9606.ENSP00000333926	0	0	0	0.593	0.234	0.076	0	0.434	0.564
ABCB1	CAV1	9606.ENSP00000478255	9606.ENSP00000339191	0	0	0	0	0.051	0.423	0	0.359	0.618
ABCB1	UGT1A10	9606.ENSP00000478255	9606.ENSP00000343838	0	0	0	0	0.059	0	0	0.673	0.679
ABCB1	UGT1A9	9606.ENSP00000478255	9606.ENSP00000346768	0	0	0	0	0.059	0	0	0.553	0.562
ABCB1	OCLN	9606.ENSP00000478255	9606.ENSP00000347379	0	0	0	0	0.045	0.056	0	0.426	0.437
ABCB1	ZEB1	9606.ENSP00000478255	9606.ENSP00000354487	0	0	0	0	0.049	0	0	0.432	0.437
ABCB1	UGT1A4	9606.ENSP00000478255	9606.ENSP00000362508	0	0	0	0	0.059	0	0	0.698	0.703
ABCB1	UGT1A7	9606.ENSP00000478255	9606.ENSP00000362525	0	0	0	0	0.059	0	0	0.677	0.683
ABCB1	UGT1A8	9606.ENSP00000478255	9606.ENSP00000362549	0	0	0	0	0.059	0	0	0.675	0.682
ABCB1	SPP1	9606.ENSP00000478255	9606.ENSP00000378517	0	0	0	0	0.100	0	0	0.382	0.420
ABCB1	GAPDH	9606.ENSP00000478255	9606.ENSP00000380070	0	0	0	0	0	0.053	0	0.630	0.635
ABCB1	CLDN5	9606.ENSP00000478255	9606.ENSP00000385477	0	0	0	0	0.092	0.049	0	0.462	0.495
ABCB1	TOP2A	9606.ENSP00000478255	9606.ENSP00000411532	0	0	0	0	0	0.071	0	0.398	0.417
ABCB1	SLC2A1	9606.ENSP00000478255	9606.ENSP00000416293	0	0	0	0	0.111	0.066	0	0.469	0.521
ABCB1	BRCA1	9606.ENSP00000478255	9606.ENSP00000418960	0	0	0	0	0	0	0	0.470	0.470
ABCB1	CRY2	9606.ENSP00000478255	9606.ENSP00000478187	0	0	0	0	0.051	0.287	0	0.242	0.442
ABCB6	SLC11A1	9606.ENSP00000265316	9606.ENSP00000233202	0.107	0	0	0	0	0	0	0.430	0.469
ABCB6	ATP1B2	9606.ENSP00000265316	9606.ENSP00000250111	0	0	0	0	0.042	0	0.720	0	0.720
ABCB6	ABCC9	9606.ENSP00000265316	9606.ENSP00000261200	0	0	0	0.586	0	0.074	0.540	0.259	0.656
ABCB6	SLC7A11	9606.ENSP00000265316	9606.ENSP00000280612	0	0	0	0	0.066	0	0	0.384	0.400
ABCB6	STRA6	9606.ENSP00000265316	9606.ENSP00000456609	0	0	0	0	0.042	0.052	0	0.490	0.497
ABCB6	KCNJ8	9606.ENSP00000265316	9606.ENSP00000499300	0	0	0	0	0	0	0.540	0.075	0.556
ABCB6	FXYD1	9606.ENSP00000265316	9606.ENSP00000481244	0	0	0	0	0	0	0.720	0	0.720
ABCB6	ATP1A2	9606.ENSP00000265316	9606.ENSP00000354490	0	0	0	0	0.042	0	0.720	0.083	0.732
ABCC5	ABCC6	9606.ENSP00000333926	9606.ENSP00000205557	0	0	0	0.771	0	0	0	0.496	0.496
ABCC5	SLCO2B1	9606.ENSP00000333926	9606.ENSP00000289575	0	0	0	0	0	0	0	0.586	0.586
ABCC5	FEN1	9606.ENSP00000333926	9606.ENSP00000305480	0.042	0	0	0	0.062	0	0	0.394	0.408
ABCC5	TYMS	9606.ENSP00000333926	9606.ENSP00000315644	0.054	0	0	0	0	0	0	0.423	0.431
ABCC5	SLC2A1	9606.ENSP00000333926	9606.ENSP00000416293	0	0	0	0	0.057	0.066	0	0.584	0.602
ABCC6	SLC13A5	9606.ENSP00000205557	9606.ENSP00000406220	0	0	0	0	0.072	0.063	0	0.396	0.429
ABCC6	SLCO2B1	9606.ENSP00000205557	9606.ENSP00000289575	0	0	0	0	0.067	0	0	0.429	0.445
ABCC6	MGP	9606.ENSP00000205557	9606.ENSP00000228938	0	0	0	0	0.063	0	0	0.896	0.898
ABCC9	KCNQ1	9606.ENSP00000261200	9606.ENSP00000155840	0	0	0	0	0	0.049	0	0.474	0.479
ABCC9	LAMA4	9606.ENSP00000261200	9606.ENSP00000230538	0	0	0	0	0.125	0	0	0.393	0.446
ABCC9	ATP1B2	9606.ENSP00000261200	9606.ENSP00000250111	0	0	0	0	0.053	0	0.540	0.090	0.569
ABCC9	ANKRD1	9606.ENSP00000261200	9606.ENSP00000360762	0	0	0	0	0.055	0.070	0	0.379	0.407
ABCC9	SCN4B	9606.ENSP00000261200	9606.ENSP00000322460	0	0	0	0	0.044	0	0	0.437	0.439
ABCC9	JUP	9606.ENSP00000261200	9606.ENSP00000377508	0	0	0	0	0.046	0.047	0	0.435	0.441
ABCC9	KCNE1	9606.ENSP00000261200	9606.ENSP00000382226	0	0	0	0	0	0	0	0.463	0.463
ABCC9	CASQ2	9606.ENSP00000261200	9606.ENSP00000261448	0	0	0	0	0.088	0.071	0	0.483	0.524
ABCC9	FXYD1	9606.ENSP00000261200	9606.ENSP00000481244	0	0	0	0	0.063	0	0.540	0.110	0.583
ABCC9	SCN2B	9606.ENSP00000261200	9606.ENSP00000278947	0	0	0	0	0.044	0	0	0.597	0.598
ABCC9	GPD1L	9606.ENSP00000261200	9606.ENSP00000282541	0	0	0	0	0.062	0.065	0	0.599	0.617
ABCC9	ATP1A2	9606.ENSP00000261200	9606.ENSP00000354490	0	0	0	0	0.084	0.078	0.540	0.213	0.653
ABCC9	ACTN2	9606.ENSP00000261200	9606.ENSP00000355537	0	0	0	0	0.063	0	0	0.667	0.674
ABCC9	NEXN	9606.ENSP00000261200	9606.ENSP00000333938	0	0	0	0	0.053	0	0	0.696	0.699
ABCC9	LDB3	9606.ENSP00000261200	9606.ENSP00000401437	0	0	0	0	0.072	0	0	0.690	0.700
ABCC9	DSG2	9606.ENSP00000261200	9606.ENSP00000261590	0	0	0	0	0	0.045	0	0.712	0.713
ABCC9	KCNJ8	9606.ENSP00000261200	9606.ENSP00000499300	0	0.006	0	0	0.286	0.797	0.700	0.991	0.999
ABI3BP	OLFML1	9606.ENSP00000284322	9606.ENSP00000332511	0	0	0	0	0.181	0	0	0.304	0.406
ABI3BP	MAMDC2	9606.ENSP00000284322	9606.ENSP00000366387	0	0	0	0	0.146	0	0	0.356	0.427
ABLIM3	AFAP1L1	9606.ENSP00000425394	9606.ENSP00000296721	0	0.004	0	0	0.127	0	0	0.501	0.546
ABLIM3	RAC3	9606.ENSP00000425394	9606.ENSP00000304283	0	0	0	0	0	0	0.900	0.102	0.906
ABLIM3	NEXN	9606.ENSP00000425394	9606.ENSP00000333938	0	0	0	0	0.073	0	0	0.415	0.434
ABLIM3	PTPRM	9606.ENSP00000425394	9606.ENSP00000463325	0	0	0	0	0.118	0	0	0.448	0.492
