#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARHGAP11A	NCAPH	9606.ENSP00000355090	9606.ENSP00000240423	0	0	0	0	0.405	0	0	0.263	0.543
ARHGAP11A	NCAPG	9606.ENSP00000355090	9606.ENSP00000251496	0	0	0	0	0.512	0	0	0.220	0.603
ARHGAP11A	CCNB1	9606.ENSP00000355090	9606.ENSP00000256442	0	0	0	0	0.510	0	0	0.183	0.582
ARHGAP11A	TROAP	9606.ENSP00000355090	9606.ENSP00000257909	0	0	0	0	0.467	0	0	0	0.467
ARHGAP11A	ESPL1	9606.ENSP00000355090	9606.ENSP00000257934	0	0	0	0	0.593	0	0	0.195	0.658
ARHGAP11A	KIF23	9606.ENSP00000355090	9606.ENSP00000260363	0	0	0	0	0.537	0	0	0.224	0.625
ARHGAP11A	KIF11	9606.ENSP00000355090	9606.ENSP00000260731	0	0	0	0	0.770	0	0	0.253	0.821
ARHGAP11A	TICRR	9606.ENSP00000355090	9606.ENSP00000268138	0	0	0	0	0.447	0	0	0.100	0.481
ARHGAP11A	PLK4	9606.ENSP00000355090	9606.ENSP00000270861	0	0	0	0	0.406	0.112	0	0.204	0.543
ARHGAP11A	NUF2	9606.ENSP00000355090	9606.ENSP00000271452	0	0	0	0	0.551	0	0	0.174	0.613
ARHGAP11A	CDCA5	9606.ENSP00000355090	9606.ENSP00000275517	0	0	0	0	0.357	0	0	0.281	0.518
ARHGAP11A	CCNB2	9606.ENSP00000355090	9606.ENSP00000288207	0	0	0	0	0.474	0	0	0.104	0.509
ARHGAP11A	PLK1	9606.ENSP00000355090	9606.ENSP00000300093	0	0	0	0	0.416	0.094	0	0.186	0.532
ARHGAP11A	TPX2	9606.ENSP00000355090	9606.ENSP00000300403	0	0	0	0	0.477	0	0	0.181	0.553
ARHGAP11A	AURKB	9606.ENSP00000355090	9606.ENSP00000313950	0	0	0	0	0.434	0	0	0.166	0.507
ARHGAP11A	E2F7	9606.ENSP00000355090	9606.ENSP00000323246	0	0	0	0	0.335	0	0	0.138	0.402
ARHGAP11A	SPAG5	9606.ENSP00000355090	9606.ENSP00000323300	0	0	0	0	0.650	0.051	0	0.117	0.681
ARHGAP11A	KNTC1	9606.ENSP00000355090	9606.ENSP00000328236	0	0	0	0	0.489	0	0	0	0.489
ARHGAP11A	CENPA	9606.ENSP00000355090	9606.ENSP00000336868	0	0	0	0	0.521	0.065	0	0.177	0.599
ARHGAP11A	FOXM1	9606.ENSP00000355090	9606.ENSP00000342307	0	0	0	0	0.533	0	0	0.169	0.596
ARHGAP11A	UBE2C	9606.ENSP00000355090	9606.ENSP00000348838	0	0	0	0	0.503	0.048	0	0.066	0.520
ARHGAP11A	WDHD1	9606.ENSP00000355090	9606.ENSP00000353793	0	0	0	0	0.397	0	0	0.089	0.427
ARHGAP11A	RAD54L	9606.ENSP00000355090	9606.ENSP00000361043	0	0	0	0	0.283	0.053	0	0.190	0.403
ARHGAP11A	STIL	9606.ENSP00000355090	9606.ENSP00000360944	0	0	0	0	0.385	0	0	0.078	0.410
ARHGAP11A	CENPI	9606.ENSP00000355090	9606.ENSP00000362018	0	0	0	0	0.434	0	0	0	0.434
ARHGAP11A	HELLS	9606.ENSP00000355090	9606.ENSP00000377601	0	0	0	0	0.393	0.070	0	0.134	0.468
ARHGAP11A	CDCA3	9606.ENSP00000355090	9606.ENSP00000442068	0	0	0	0	0.407	0	0	0.145	0.471
ARHGAP11A	KIFC1	9606.ENSP00000355090	9606.ENSP00000393963	0	0	0	0	0.440	0	0	0.138	0.496
ARHGAP11A	EXO1	9606.ENSP00000355090	9606.ENSP00000355506	0	0	0	0	0.445	0	0	0.160	0.514
ARHGAP11A	PRC1	9606.ENSP00000355090	9606.ENSP00000377793	0	0	0	0	0.501	0	0	0.107	0.535
ARHGAP11A	FAM72B	9606.ENSP00000355090	9606.ENSP00000358397	0	0	0	0	0.322	0	0	0.356	0.545
ARHGAP11A	HJURP	9606.ENSP00000355090	9606.ENSP00000414109	0	0	0	0	0.598	0	0	0	0.598
ARHGAP11A	ECT2	9606.ENSP00000355090	9606.ENSP00000376457	0	0	0	0	0.531	0	0	0.207	0.613
ARHGAP11A	RACGAP1	9606.ENSP00000355090	9606.ENSP00000404190	0	0	0	0.554	0.520	0	0	0.235	0.617
ARHGAP11A	KIF18B	9606.ENSP00000355090	9606.ENSP00000465992	0	0	0	0	0.445	0.069	0	0.323	0.619
ARHGAP11A	KIF2C	9606.ENSP00000355090	9606.ENSP00000361298	0	0	0	0	0.617	0	0	0.072	0.630
ARHGAP11A	NEK2	9606.ENSP00000355090	9606.ENSP00000355966	0	0	0	0	0.634	0	0	0.093	0.654
ARHGAP11A	CDCA8	9606.ENSP00000355090	9606.ENSP00000362146	0	0	0	0	0.673	0	0	0.125	0.702
ARHGAP11A	CCNA2	9606.ENSP00000355090	9606.ENSP00000481380	0	0	0	0	0.682	0	0	0.140	0.715
ARHGAP11A	CDK1	9606.ENSP00000355090	9606.ENSP00000378699	0	0	0	0	0.697	0.069	0	0.170	0.745
ARHGAP11A	TTK	9606.ENSP00000355090	9606.ENSP00000358813	0	0	0	0	0.717	0	0	0.226	0.771
ATAD2	CDC6	9606.ENSP00000287394	9606.ENSP00000209728	0	0	0	0	0.332	0.098	0	0.547	0.703
ATAD2	AURKA	9606.ENSP00000287394	9606.ENSP00000216911	0	0	0	0	0.341	0	0	0.561	0.698
ATAD2	OIP5	9606.ENSP00000287394	9606.ENSP00000220514	0	0	0	0	0.345	0	0	0.180	0.440
ATAD2	RAD51AP1	9606.ENSP00000287394	9606.ENSP00000228843	0	0	0	0	0.448	0	0	0.405	0.658
ATAD2	NCAPG	9606.ENSP00000287394	9606.ENSP00000251496	0	0	0	0	0.539	0.066	0	0.170	0.612
ATAD2	CCNB1	9606.ENSP00000287394	9606.ENSP00000256442	0	0	0	0	0.321	0.067	0	0.201	0.449
ATAD2	KIF23	9606.ENSP00000287394	9606.ENSP00000260363	0	0	0	0	0.437	0.070	0	0.402	0.659
ATAD2	KIF11	9606.ENSP00000287394	9606.ENSP00000260731	0	0	0	0	0.568	0	0	0.328	0.697
ATAD2	MCM4	9606.ENSP00000287394	9606.ENSP00000262105	0	0	0	0	0.778	0.094	0	0.361	0.860
ATAD2	MCM2	9606.ENSP00000287394	9606.ENSP00000265056	0	0	0	0	0.378	0.114	0	0.124	0.475
ATAD2	PLK4	9606.ENSP00000287394	9606.ENSP00000270861	0	0	0	0	0.644	0.074	0	0.160	0.699
ATAD2	NUF2	9606.ENSP00000287394	9606.ENSP00000271452	0	0	0	0	0.471	0.079	0	0.330	0.646
ATAD2	CDCA5	9606.ENSP00000287394	9606.ENSP00000275517	0	0	0	0	0.395	0	0	0.118	0.444
ATAD2	RAD51	9606.ENSP00000287394	9606.ENSP00000493712	0.042	0	0	0	0.269	0.071	0	0.186	0.400
ATAD2	CDCA3	9606.ENSP00000287394	9606.ENSP00000442068	0	0	0	0	0.265	0	0	0.245	0.422
ATAD2	WDHD1	9606.ENSP00000287394	9606.ENSP00000353793	0	0	0	0	0.445	0	0	0	0.445
ATAD2	SPAG5	9606.ENSP00000287394	9606.ENSP00000323300	0	0	0	0	0.313	0.095	0	0.198	0.458
ATAD2	CCNB2	9606.ENSP00000287394	9606.ENSP00000288207	0	0	0	0	0.313	0.067	0	0.224	0.459
ATAD2	RAD54L	9606.ENSP00000287394	9606.ENSP00000361043	0	0	0	0	0.268	0.094	0	0.271	0.474
